Rank,Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index
32,Italy,66.47,20.55,44.95,57.95,70.58,61.74
33,Seychelles,65.93,32.35,50.19,61.55,77.01,19.43
34,Germany,65.58,27.62,47.78,52.31,60.91,103.08
35,Qatar,62.81,48.2,55.96,54.97,63.01,93.67
36,Taiwan,62.35,17.69,41.42,76.19,29.42,58.35
37,Cyprus,59.03,22.36,41.84,49.2,61.15,57.31
38,United Arab Emirates,58.33,43.28,51.28,46.67,61.53,92.17
39,Palestine,58.11,11.01,36.03,51.23,44.58,39.84
40,Maldives,57.66,30.2,44.78,56.6,34.72,28.59
41,Greece,56.22,12.68,35.81,44.73,52.19,39.73
42,Cuba,55,15.23,36.36,47.93,33.54,1.45
43,Trinidad And Tobago,54.88,15.97,36.64,53.96,53.74,38.47
44,Bahrain,54.77,29.22,42.79,44.59,48.94,61.41
45,Slovenia,53.88,17.9,37.01,47.71,46.74,59.48
46,Spain,53.88,21.25,38.58,45.69,53.96,70.04
47,Estonia,53.68,16.37,36.19,42.29,56.43,63.46
48,Yemen,53.14,6.71,31.38,67.12,24.74,14.41
49,Uruguay,52.07,13.93,34.19,44.01,49.39,30.07
50,Suriname,51.78,9.71,32.06,45.92,79.61,13.44
51,Panama,51.43,21.75,37.51,52.16,43.38,33.09
52,Belize,51.3,11.64,32.71,48.76,36.6,45.73
53,Saudi Arabia,50.41,11.67,32.25,42.57,35.5,91.85
54,Senegal,50.25,22.97,37.46,42.17,46.22,23.45
55,Jamaica,49.67,15.1,33.46,53.41,35.04,30.25
56,Oman,49.42,16.77,34.11,46.51,43.24,84.24
57,Jordan,49.19,9.23,30.46,40.81,41.16,31.34
58,Cambodia,49.11,15.68,33.44,50.61,22.9,13.32
59,Croatia,48.94,13.38,32.27,41.98,41.29,47.55
60,Kuwait,48.68,31.31,40.54,35.63,47.48,78.57
61,Latvia,48.45,11.77,31.26,38.37,42.1,51.65
62,Libya,48.35,12.89,31.73,54.03,34.1,33.25
63,Czech Republic,48.24,18.4,34.25,42.76,36.72,66.47
64,Portugal,47.94,20.73,35.19,39.01,40.26,46.8
65,Ethiopia,47.49,16.88,33.14,36.68,18.03,10.15
66,Ivory Coast,47.03,17.68,33.27,40.22,31.99,6.92
67,Costa Rica,47.01,14.7,31.87,45.54,41.69,39.88
68,Zimbabwe,45.68,8.75,28.37,39.88,38.13,19.07
69,Lithuania,45.65,15.01,31.29,36.18,46.64,58.74
70,Slovakia,44.68,16.11,31.29,39.74,36.08,54.7
71,El Salvador,44.37,13.19,29.75,44.32,35.47,21.17
72,Mauritius,44.08,10.95,28.55,45.61,33.44,29.62
73,Chile,43.9,13.51,29.66,38.87,43.26,33.27
74,Guatemala,43.49,15.6,30.42,41.92,32.59,26.35
75,Thailand,43.21,14.69,29.84,45.15,22.59,31.56
76,Venezuela,43.2,9.99,27.63,37.34,46.23,15.41
77,Fiji,43.16,17.76,31.26,48.06,37.42,35.87
78,South Africa,42.09,16.6,30.14,34.78,41.33,78.36
79,China,41.77,16.53,29.93,46.01,28.37,59.99
80,Dominican Republic,41.77,9.59,26.68,38.45,34.3,21.07
81,Hungary,40.66,11.91,27.18,35.19,32.82,51.98
82,Honduras,40.46,10.28,26.31,34.73,28.67,32.09
83,Botswana,40.17,10.21,26.12,35.16,42.5,62.63
84,Nicaragua,39.64,8.68,25.13,38.13,27.51,17.63
85,Cameroon,39.48,6.91,24.22,40.41,26.33,15.37
86,Montenegro,38.95,12.87,26.72,31.76,33.22,34.19
87,Poland,38.95,14.45,27.46,32.42,33.52,59.95
88,Bulgaria,38.38,9.07,24.64,34.02,32.44,45.96
89,Vietnam,37.48,13.22,26.11,38.7,19.98,29.38
90,Iran,37.39,17.05,27.85,29.46,25.18,17.98
91,Ecuador,37.34,11.28,25.12,34.49,28.55,31.76
92,Philippines,37.06,9.59,24.18,37.84,20.61,21.47
93,Malaysia,37.02,9.87,24.29,39.45,20.84,55.3
94,Serbia,36.21,8.73,23.33,28.18,29.24,37.83
95,Ghana,36.2,19.31,28.28,37.53,30.06,16.82
96,Bosnia And Herzegovina,36.12,6.82,22.39,31.14,25.34,44.1
97,Indonesia,35.85,9.82,23.65,38.29,17.74,21.07
98,Myanmar,35.67,21.18,28.87,37.63,20,13.84
99,Albania,35.5,8.47,22.83,29.32,25.82,30.19
100,Mexico,35.35,12.55,24.66,34.82,32.67,38.62
101,Russia,35.26,13.09,24.87,29.86,34.56,37.41
102,Romania,35.24,10.17,23.49,31.38,30.02,48.12
103,Bolivia,34.77,10.18,23.24,31.26,24.97,36.04
104,Mongolia,34.74,11.22,23.72,36.14,22.8,24.34
105,Argentina,34.69,7.71,22.04,28.17,33.32,30.72
106,Somalia,34.58,5.16,20.79,39.39,26.65,29.4
107,Iraq,34.47,10.63,23.29,30.46,28.31,40.92
108,Kenya,33.92,8.73,22.11,31.27,28.82,32.18
109,Armenia,33.89,11.61,23.45,27.59,30.55,28.86
110,Morocco,33.83,8.98,22.18,30.63,24.52,34.36
111,Uganda,33.5,9.19,22.1,31,24.85,11.41
112,Brazil,33.24,8.27,21.54,28.16,25.24,27.85
113,Bangladesh,33.13,4.42,19.67,30.41,21.7,25.3
114,Zambia,33.04,9.26,21.9,31.53,22.46,40.33
115,Tanzania,32.81,12.36,23.23,30.04,24.86,15.97
116,Peru,32.53,11.22,22.54,30.71,21.53,28.17
117,Rwanda,31.62,15.9,24.25,27.71,27.99,26.82
118,North Macedonia,31.38,6.06,19.51,26.95,21.02,35.44
119,Sri Lanka,31.29,8.23,20.48,37.67,17.27,19.27
120,Belarus,30.89,9.81,21.01,27.24,31.64,31.78
121,Ukraine,30.71,10.57,21.27,26.3,25.75,37.22
122,Nigeria,30.49,35.99,33.07,33.65,20.92,9.34
123,Moldova,30.35,8.7,20.2,24.96,27.1,33.43
124,Paraguay,30.2,10.04,20.75,25.45,24.19,26.08
125,Georgia,30.18,9.26,20.37,26.44,27.88,31.15
126,Azerbaijan,29.73,7.86,19.48,26.57,26.73,27.26
127,Egypt,29.52,5.82,18.41,27.42,23.42,21.54
128,Syria,28.75,5.17,17.7,29.34,22.81,6.59
129,Kazakhstan,28.68,9.44,19.66,25.35,27.24,32.23
130,Turkey,28.31,6.63,18.15,22.64,18.4,32.88
131,Nepal,28.29,3.96,16.89,26.45,20.41,22.96
132,Tunisia,27.87,5.32,17.3,27.36,15.96,27.83
133,Uzbekistan,27.31,9.29,18.86,26.83,24.22,22.37
134,Kosovo (Disputed Territory),27.05,8.04,18.14,24.84,19.53,43.86
135,Algeria,26.87,4.59,16.43,28.82,14.48,24.63
136,Colombia,26.72,8.18,18.03,23.47,19.44,28.85
137,India,24.43,5.3,15.47,26.43,17.56,49.72
138,Afghanistan,20.37,2.72,12.09,14.92,12.41,23.04
139,Pakistan,19.92,3.91,12.42,17.81,15.54,26.63
